time,P_e_NM,P_e_Lindblad,coherence_NM,coherence_Lindblad,trace_distance
1.780000000000000071e+01,3.206541190479490488e-01,4.488798597427169357e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.282257406947678591e-01
1.800000000000000000e+01,3.149867380928159655e-01,4.448580662229411065e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.298713281301251410e-01
1.819999999999999929e+01,3.092881845949240205e-01,4.408723064497561128e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.315841218548320646e-01
1.840000000000000213e+01,3.036836251000701314e-01,4.369222575744410864e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.332386324743709549e-01
1.860000000000000142e+01,2.981102776506131535e-01,4.330075996408775385e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.348973219902643572e-01
1.880000000000000071e+01,2.925680103792414055e-01,4.291280155596324808e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.365600051803910475e-01
1.900000000000000000e+01,2.870566926752421977e-01,4.252831910822740813e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.382264984070318836e-01
1.920000000000000284e+01,2.815761951391878570e-01,4.214728147759175259e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.398966196367296411e-01
1.940000000000000213e+01,2.761263895245983924e-01,4.176965779979987525e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.415701884734003602e-01
1.960000000000000142e+01,2.707071486938921190e-01,4.139541748712740610e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.432470261773819142e-01
1.980000000000000071e+01,2.653183465795312390e-01,4.102453022590439313e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.449269556795127201e-01
2.000000000000000000e+01,2.599598581587851953e-01,4.065696597405990542e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.466098015818138589e-01
2.020000000000000284e+01,2.546315594299353169e-01,4.029269495868856854e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.482953901569503685e-01
2.040000000000000213e+01,2.493333273867511801e-01,3.993168767363898253e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.499835493496386452e-01
2.060000000000000142e+01,2.440650399898913747e-01,3.957391487712366707e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.516741087813452959e-01
2.080000000000000071e+01,2.388265761354392835e-01,3.921934758935049503e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.533668997580656668e-01
2.100000000000000000e+01,2.336178156276284557e-01,3.886795709017529799e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.550617552741245242e-01
2.120000000000000284e+01,2.284386391540338401e-01,3.851971491677551040e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.567585100137212639e-01
2.140000000000000213e+01,2.232889282654796914e-01,3.817459286134470275e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.584570003479673361e-01
2.160000000000000142e+01,2.181685653557512983e-01,3.783256296880767033e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.601570643323254051e-01
2.180000000000000071e+01,2.130774336407859626e-01,3.749359753455613342e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.618585417047753716e-01
2.200000000000000000e+01,2.080154171370416361e-01,3.715766910220456576e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.635612738850040215e-01
2.220000000000000284e+01,2.029824006400900438e-01,3.682475046136628460e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.652651039735728022e-01
2.240000000000000213e+01,1.979782697057844154e-01,3.649481464544936382e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.669698767487092228e-01
2.260000000000000142e+01,1.930029106327993960e-01,3.616783492947232559e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.686754386619238599e-01
2.280000000000000071e+01,1.880562104469291618e-01,3.584378482789937759e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.703816378320646141e-01
2.300000000000000000e+01,1.831380568849104717e-01,3.552263809249514570e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.720883240400409853e-01
2.320000000000000284e+01,1.782483383782282882e-01,3.520436871019845260e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.737953487237562378e-01
2.340000000000000213e+01,1.733869440370384152e-01,3.488895090101533092e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.755025649731148940e-01
